Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Godrej Properties Ltd,3/28/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,868.0,868.0
HDFC Bank Ltd,12/24/2018,prajith Chandrasekhar,Insider - Designated Person,Sell,24,46800.0,1950.0
V Guard Industries Ltd,8/3/2020,T B SRIKKANTH,Insider - Designated Person,Buy,2,333.0,166.5
Orient Electric Ltd,3/29/2023,RAKESH KHANNA,Insider - Director,Sell,1,274.0,274.0
HDFC Life Insurance Company Ltd,12/2/2022,PANKAJ GUPTA,Insider - Designated Person,Sell,10,5910.0,591.0
Brigade Enterprises Ltd,7/16/2021,HEMAVATHI V,Insider - Employee,Buy,1,345.0,345.0
Brigade Enterprises Ltd,8/20/2021,HEMAVATHI V,Insider - Employee,Sell,1,319.0,319.0
Brigade Enterprises Ltd,7/20/2021,HEMAVATHI V,Insider - Employee,Sell,1,318.0,318.0
HDFC Asset Management Company Ltd,9/4/2018,RAJBIR SINGH,Insider - Employee,Sell,1,1759.0,1759.0
Housing Development Finance Corporation Ltd,11/28/2018,SATISH BARAGI DEVANNA,Insider - Employee,Sell,8,15416.0,1927.0
Housing Development Finance Corporation Ltd,3/13/2019,SASHANK DRONADULA,Insider - Employee,Sell,8,14944.0,1868.0
HDFC Bank Ltd,9/18/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,42000.0,1680.0
HDFC Bank Ltd,9/20/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,42000.0,1680.0
HDFC Bank Ltd,9/21/2017,Shaji Balakrishnan,Insider - Employee,Sell,25,45172.0,1806.88
HDFC Bank Ltd,3/15/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,35000.0,1400.0
Larsen & Toubro Ltd,9/12/2022,PRATIMA MEHTA,Insider - Immediate Relative,Sell,7,13720.0,1960.0
Ujaas Energy Ltd,2/2/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,5.0,5.9
Ujaas Energy Ltd,6/9/2021,GUNDLAPALLI SHOWRAIAH BABU,Bulk,Buy,1,3.0,3.45
Indusind Bank Ltd,6/8/2017,M.K Madhavan,Insider - Employee,Sell,3,4590.0,1530.0
Housing Development Finance Corporation Ltd,2/7/2017,Saurav,Insider - Employee,Sell,8,11264.0,1408.0
Vikas Ecotech Ltd,7/20/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,2,3.0,1.97
Godrej Agrovet Ltd,9/30/2019,JNG Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,PJG Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,RJG Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,BNG Successor Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,PG Lineage Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,NBG Family Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,SNG Successor Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,RNG Family Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,SNG Lineage Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,NG Children Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,ABG Family Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,NVC Children Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,TAD Children Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,PG Children Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,NJG Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,VMC Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,BNG Lineage Trust,Insider - Promoter Group,Buy,1,476.0,476.0
Godrej Agrovet Ltd,9/30/2019,FVC Children Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Godrej Agrovet Ltd,9/30/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,474.0,474.0
Yes Bank Ltd,10/8/2018,Gautam Jain,Insider - Employee,Buy,12,2652.0,221.0
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND,Block,Buy,16,15488.0,968.0
HCL Technologies Ltd,7/4/2017,C Ranganayaki,Insider - Immediate Relative,Sell,15,15000.0,1000.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,20,53320.0,2666.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,20,53087.0,2654.35
Mphasis Ltd,9/14/2020,Kathryn Airth Terry,Insider - Designated Person,Sell,1,1188.0,1188.0
Indus Towers Ltd,10/12/2017,Ravinder Hooda,Insider - Employee,Sell,10,4188.0,418.8
Infosys Ltd,3/13/2019,Andrew Groth,Insider - Designated Person,Sell,24,17778.0,740.75
Housing Development Finance Corporation Ltd,1/12/2022,ANITHA RAMABHADRAN,Insider - Immediate Relative,Buy,10,27375.0,2737.5
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,9,14837.0,1648.56
Larsen & Toubro Ltd,9/8/2022,PRATIMA MEHTA,Insider - Immediate Relative,Sell,8,15704.0,1963.0
Prakash Steelage Ltd,8/1/2012,HARIDARSHAN SALES PVT LTD,Bulk,Buy,1,155.0,155.45
HDFC Bank Ltd,2/14/2019,Prajith Chandrasekhar,Insider - Employee,Sell,30,58500.0,1950.0
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND,Block,Buy,18,17424.0,968.0
HDFC Life Insurance Company Ltd,11/1/2021,DHAVALRAI TRIVEDI,Insider - Immediate Relative,Buy,12,8275.0,689.58
Suncare Traders Ltd,5/19/2021,ALKA RAWAT,Bulk,Sell,1,0.0,0.6
PNB Housing Finance Ltd,6/2/2021,DIPPIKA A SHARMA,Insider - Designated Person,Sell,1,670.0,670.0
Mahindra and Mahindra Financial Services Ltd,3/25/2019,Suresh Shanmugam,Insider - Designated Person,Sell,6,2479.0,413.17
Housing Development Finance Corporation Ltd,5/24/2018,SUDIPTO KUMAR DAS,Insider - Employee,Sell,10,18031.0,1803.1
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,10,19368.0,1936.8
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,10,19400.0,1940.0
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,10,19152.0,1915.2
Housing Development Finance Corporation Ltd,11/5/2018,SANDEEP SATSANGI,Insider - Employee,Sell,10,17794.0,1779.4
Housing Development Finance Corporation Ltd,11/27/2018,ADITI AGARWAL,Insider - Employee,Sell,10,19020.0,1902.0
Housing Development Finance Corporation Ltd,11/26/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,18850.0,1885.0
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,19160.0,1916.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,10,19692.0,1969.2
Housing Development Finance Corporation Ltd,11/27/2018,ADITI GUPTA,Insider - Employee,Sell,10,19250.0,1925.0
Housing Development Finance Corporation Ltd,11/12/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,10,17901.0,1790.1
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,19220.0,1922.0
Housing Development Finance Corporation Ltd,3/13/2019,SHYAM KUMAR V,Insider - Employee,Sell,10,19550.0,1955.0
Housing Development Finance Corporation Ltd,11/16/2018,SOMA SUNDAR B T,Insider - Employee,Sell,10,18890.0,1889.0
Housing Development Finance Corporation Ltd,11/19/2018,SOMA SUNDAR B T,Insider - Employee,Sell,10,19050.0,1905.0
Housing Development Finance Corporation Ltd,6/22/2018,DEEPAK B,Insider - Employee,Sell,10,18750.0,1875.0
Housing Development Finance Corporation Ltd,11/29/2018,ROHIT HARISHCHANDRA PATIL,Insider - Employee,Sell,10,19650.0,1965.0
Housing Development Finance Corporation Ltd,5/3/2018,SUHANI UPADHYAY,Insider - Immediate Relative,Buy,10,19249.0,1924.9
Housing Development Finance Corporation Ltd,11/6/2018,DEEPANKAR JOSHI,Insider - Employee,Sell,10,18106.0,1810.6
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,19050.0,1905.0
Housing Development Finance Corporation Ltd,5/28/2018,PRASANNA K C,Insider - Employee,Sell,10,18300.0,1830.0
Housing Development Finance Corporation Ltd,11/13/2018,ABHINAV MEHRA,Insider - Employee,Sell,10,18200.0,1820.0
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,10,18840.0,1884.0
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,19300.0,1930.0
Housing Development Finance Corporation Ltd,3/11/2019,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,10,18970.0,1897.0
Housing Development Finance Corporation Ltd,5/8/2018,SUJIR UDAYANAND,Insider - Designated Person,Sell,10,19006.0,1900.6
Housing Development Finance Corporation Ltd,7/4/2018,MANECK MADHOK,Insider - Immediate Relative,Sell,10,19080.0,1908.0
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,10,19230.0,1923.0
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,10,19350.0,1935.0
Housing Development Finance Corporation Ltd,6/21/2018,DEEPAK B,Insider - Employee,Sell,10,18750.0,1875.0
HDFC Bank Ltd,12/29/2015,Suraj Rangnekar,Insider - Employee,Sell,30,31500.0,1050.0
Johnson Pharmacare Ltd,1/24/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,3,3.0,1.28
Bajaj Finance Ltd,3/9/2016,Ratikanta Satapathy,Insider - Designated Person,Sell,3,18735.0,6245.0
Biogen Pharmachem Industries Ltd,6/17/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,1.0,0.34
ITC Ltd,8/12/2016,Arindam Mukherjee,Insider - Employee,Buy,75,4.99,6652.0
ITC Ltd,9/1/2016,Arindam Mukherjee,Insider - Employee,Sell,75,7.71,10282.23
Religare Enterprises Ltd,6/21/2023,Pawan Seth,Insider - Employee,Sell,2,350.0,175.0
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,18181.0,1818.1
Housing Development Finance Corporation Ltd,2/21/2018,Deepak B,Insider - Employee,Sell,10,18250.0,1825.0
Housing Development Finance Corporation Ltd,6/12/2017,Bhatt Devi Prasad,Insider - Employee,Sell,10,16510.0,1651.0
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,18250.0,1825.0
Housing Development Finance Corporation Ltd,8/3/2017,Bhumika Mahendru,Insider - Employee,Sell,10,17425.0,1742.5
Housing Development Finance Corporation Ltd,8/23/2017,Deepak B,Insider - Employee,Sell,10,17620.0,1762.0
Housing Development Finance Corporation Ltd,2/9/2018,Sivakumar T,Insider - Employee,Sell,10,17666.0,1766.6
Housing Development Finance Corporation Ltd,3/6/2018,ADITI DONGARE,Insider - Employee,Sell,10,18150.0,1815.0
Housing Development Finance Corporation Ltd,2/19/2018,SIVAKUMAR T,Insider - Employee,Sell,10,18165.0,1816.5
Housing Development Finance Corporation Ltd,2/27/2018,VENKATARAMANI M,Insider - Employee,Sell,10,18320.0,1832.0
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,10,17900.0,1790.0
Housing Development Finance Corporation Ltd,12/11/2017,SANJIV KUMAR SINHA,Insider - Employee,Sell,10,17000.0,1700.0
Housing Development Finance Corporation Ltd,11/23/2017,KAVITHA MAHESH PATKI,Insider - Employee,Sell,10,17150.0,1715.0
Housing Development Finance Corporation Ltd,3/27/2018,Deepak B,Insider - Employee,Sell,10,18400.0,1840.0
Housing Development Finance Corporation Ltd,6/12/2017,Patel Ghanshyam J,Insider - Employee,Sell,10,16425.0,1642.5
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,10,18017.0,1801.7
Housing Development Finance Corporation Ltd,3/26/2018,Bhosale Rohit Ramesh,Insider - Employee,Sell,10,17836.0,1783.6
Housing Development Finance Corporation Ltd,3/13/2018,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,10,18660.0,1866.0
Housing Development Finance Corporation Ltd,9/8/2017,Bhavik Dilipbhai Daxini,Insider - Employee,Sell,10,17888.0,1788.8
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,18189.0,1818.9
Housing Development Finance Corporation Ltd,3/21/2018,Deepak B,Insider - Employee,Sell,10,18250.0,1825.0
Alka India Ltd,1/4/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,13.0,3.47
Housing Development Finance Corporation Ltd,9/29/2016,Senthil Kumar G,Insider - Employee,Sell,10,13831.0,1383.1
Housing Development Finance Corporation Ltd,2/9/2017,Vimmi Batra,Insider - Employee,Sell,10,14160.0,1416.0
Housing Development Finance Corporation Ltd,6/21/2016,Anubhab Maitra,Insider - Designated Person,Sell,10,12386.0,1238.6
Housing Development Finance Corporation Ltd,2/15/2017,Deepak B,Insider - Employee,Sell,10,14000.0,1400.0
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,10,14236.0,1423.6
Housing Development Finance Corporation Ltd,3/15/2017,Aneesh R L,Insider - Employee,Sell,10,14350.0,1435.0
Housing Development Finance Corporation Ltd,8/31/2016,Gajananprasad Ratnakar Anekar,Insider - Employee,Sell,10,14091.0,1409.1
Housing Development Finance Corporation Ltd,12/12/2016,Vedant Girdhari Lal Bhandari,Insider - Employee,Sell,10,12758.0,1275.8
Housing Development Finance Corporation Ltd,3/21/2017,Deepak B,Insider - Employee,Sell,10,14670.0,1467.0
Housing Development Finance Corporation Ltd,3/28/2017,Deepak B,Insider - Employee,Sell,10,14950.0,1495.0
Housing Development Finance Corporation Ltd,12/7/2016,SHAH MAHESH H,Insider - Employee,Sell,10,12790.0,1279.0
Housing Development Finance Corporation Ltd,2/9/2017,Ameet Ravindranath Vedpathak,Insider - Employee,Sell,10,14030.0,1403.0
Housing Development Finance Corporation Ltd,3/15/2017,Nayak Lata K,Insider - Employee,Sell,10,14350.0,1435.0
Housing Development Finance Corporation Ltd,2/17/2017,P Vijayan Xavier,Insider - Employee,Sell,10,14210.0,1421.0
Tata Consultancy Services Ltd,1/24/2018,Nitya Jain,Insider - Designated Person,Sell,25,80707.0,3228.28
Tata Consultancy Services Ltd,1/29/2018,Rohit Kumar Jain,Insider - Immediate Relative,Sell,25,80475.0,3219.0
Housing Development Finance Corporation Ltd,3/10/2016,Chandra Anurag,Insider - Designated Person,Sell,10,11550.0,1155.0
Mahindra and Mahindra Ltd,12/27/2018,Kinnar Rathod,Insider - Employee,Buy,7,5566.0,795.14
Antarctica Ltd,8/29/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,1,1.0,1.0
Sturdy Industries Ltd,1/4/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,1,0.0,0.67
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,4,5959.0,1489.75
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,4,5961.0,1490.25
ITC Ltd,5/11/2018,KAUSHIK MUKHERJEE,Insider - Employee,Sell,83,23514.0,283.3
Max Ventures and Industries Ltd,8/18/2020,Atul Lall,Insider - Employees Immediate Relative,Buy,1,38.0,38.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1371.0,685.5
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1374.0,687.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1380.0,690.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,2,1407.0,703.5
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1372.0,686.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1370.0,685.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,2,1377.0,688.5
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,1379.0,689.5
Tata Consultancy Services Ltd,5/22/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,26,51604.0,1984.77
Housing Development Finance Corporation Ltd,3/27/2017,Kartik Radhakrishnan,Insider - Employee,Sell,11,16036.0,1457.82
Housing Development Finance Corporation Ltd,3/28/2017,Abhimanyu Kukreja,Insider - Employee,Sell,11,16557.0,1505.18
AU Small Finance Bank Ltd,12/7/2018,Kamaljeet Singh,Insider - Employee,Sell,2,1215.0,607.5
ITC Ltd,11/22/2019,SAMRAT BANERJEE,Insider - Employee,Sell,86,21328.0,248.0
Uttam Galva Steels Ltd,6/29/2021,ANKITA VISHAL SHAH,Bulk,Sell,1,5.0,5.35
Uttam Galva Steels Ltd,7/6/2021,PARTH INFIN BROKERS PVT. LTD.,Bulk,Buy,1,4.0,4.13
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,10,21953.0,2195.3
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,10,22191.0,2219.1
Larsen & Toubro Ltd,2/17/2023,AKASH JAIN,Insider - Designated Person,Sell,10,22250.0,2225.0
Larsen & Toubro Ltd,1/18/2021,SANDEEP DIPANKAR,Insider - Designated Person,Buy,10,13371.0,1337.1
Larsen & Toubro Ltd,1/29/2021,SANDEEP DIPANKAR,Insider - Designated Person,Buy,10,13367.0,1336.7
Larsen & Toubro Ltd,1/19/2021,SANDEEP DIPANKAR,Insider - Designated Person,Sell,10,13651.0,1365.1
Larsen & Toubro Ltd,10/26/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,10,12052.0,1205.2
Larsen & Toubro Ltd,11/28/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Sell,10,14157.0,1415.7
UltraTech Cement Ltd,7/8/2019,Birla Group Holdings Private Limited,Insider - Promoter,Buy,2,168.0,84.0
Eicher Motors Ltd,3/6/2018,Samrat Som,Insider - Employee,Sell,2,55400.0,27700.0
Surana Telecom and Power Ltd,9/30/2017,Narender Surana,Insider - Promoter & Director,Buy,1,5.0,5.0
Yes Bank Ltd,9/12/2018,Shiva Lodhi,Insider - Employee,Buy,17,5323.0,313.12
Star Housing Finance Ltd,3/21/2023,Nirmal Kumar Jain,Insider - Promoter,Sell,1,46.0,46.0
Star Housing Finance Ltd,5/5/2023,Nirmal Kumar Jain,Insider - Promoter,Sell,1,47.0,47.0
Jubilant Foodworks Ltd,9/3/2018,PUSHKAR MALHOTRA,Insider - Designated Person,Sell,1,1551.0,1551.0
Tata Consultancy Services Ltd,11/6/2020,Arun Kumar Malik,Insider - Immediate Relative,Buy,29,78453.0,2705.28
Wipro Ltd,8/9/2016,Keyur Maniar,Insider - Employee,Sell,51,28050.0,550.0
Housing Development Finance Corporation Ltd,11/5/2018,C L SRILEKHA,Insider - Employee,Sell,13,23144.0,1780.31
Reliance Industries Ltd,9/5/2020,Sanjeev Vijayvargia,Insider - Designated Person,Sell,50,1.1,2190.0
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,11,24151.0,2195.55
RBL Bank Ltd,8/31/2020,PALLAV SINHA,Insider - Designated Person,Sell,4,784.0,196.0
Reliance Capital Ltd,6/28/2021,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Sell,2,51.0,25.65
Samvardhana Motherson International Ltd,11/1/2018,ALOK GOEL,Insider - KMP,Buy,25,4383.0,175.32
Indian Infotech and Software Ltd,7/30/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,8,11.0,1.46
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,5,1291.0,258.2
HDFC Bank Ltd,11/24/2015,Suraj Rangnekar,Insider - Employee,Sell,40,42000.0,1050.0
Tata Consultancy Services Ltd,5/28/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,30,59794.0,1993.13
Rollatainers Ltd,10/8/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,2,5.0,2.63
RITES Ltd,7/2/2018,Pawan Kr. Mishra,Insider - Employee,Sell,2,443.0,221.5
Johnson Pharmacare Ltd,1/5/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,2.0,0.74
RITES Ltd,7/17/2018,Pawan Kr. Mishra,Insider - Employee,Buy,2,389.0,194.7
Johnson Pharmacare Ltd,2/4/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,5.0,1.38
Ashika Credit Capital Ltd,11/6/2017,INDRA PRATAP SINGH (HUF),Bulk,Sell,5,134.0,26.9
Reliance Naval and Engineering Ltd,5/18/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,6,6.0,1.06
Housing Development Finance Corporation Ltd,8/7/2017,DUTTA DIPTA,Insider - Employee,Sell,13,22441.0,1726.23
ITC Ltd,9/25/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,30075.0,300.75
ITC Ltd,4/19/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,27770.0,277.7
ITC Ltd,8/3/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,30424.0,304.24
ITC Ltd,1/11/2019,HARIT SHROFF,Insider - Employee,Sell,100,29498.0,294.98
ITC Ltd,8/13/2018,RAJESH AGARWAL,Insider - Employee,Sell,100,30625.0,306.25
ITC Ltd,7/25/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,28600.0,286.0
ITC Ltd,8/2/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,30115.0,301.15
ITC Ltd,8/10/2018,HARIT SHROFF,Insider - Employee,Sell,100,30650.0,306.5
ITC Ltd,9/10/2018,MADHUSUDHANA RAO TUNUGUNTLA,Insider - Employee,Sell,100,30600.0,306.0
ITC Ltd,4/5/2018,ANMOL SINGH GREWAL,Insider - Employee,Sell,100,25870.0,258.7
ITC Ltd,8/17/2018,MADHUSUDHANA RAO TUNUGUNTLA,Insider - Employee,Sell,100,31500.0,315.0
ITC Ltd,8/14/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,30922.0,309.22
ITC Ltd,8/20/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,31400.0,314.0
ITC Ltd,2/28/2019,VIVEK PATNI,Insider - Employee,Sell,100,27575.0,275.75
ITC Ltd,3/11/2019,SANJEEV K. NAYAR,Insider - Employee,Sell,100,29312.0,293.12
ITC Ltd,3/11/2019,D. JOHN ROBERT,Insider - Employee,Sell,100,29300.0,293.0
ITC Ltd,8/6/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,30525.0,305.25
ITC Ltd,8/17/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,31421.0,314.21
ITC Ltd,1/11/2019,V.V. SUBRAMANYAM,Insider - Employee,Sell,100,29600.0,296.0
ITC Ltd,8/9/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,30450.0,304.5
ITC Ltd,8/17/2018,RAMASAMY SAMBASIVAM ANNADURAI,Insider - Employee,Sell,100,31365.0,313.65
ITC Ltd,4/2/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,25800.0,258.0
ITC Ltd,3/12/2019,SANJEEV K. NAYAR,Insider - Employee,Sell,100,29412.0,294.12
ITC Ltd,3/20/2019,PRASHANT MISHRA,Insider - Employee,Sell,100,30000.0,300.0
ITC Ltd,1/9/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,26800.0,268.0
ITC Ltd,7/19/2017,KHALID HUSAIN KHAN,Insider - Employee,Sell,100,28942.0,289.42
ITC Ltd,1/18/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,27215.0,272.15
ITC Ltd,3/13/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,27040.0,270.4
ITC Ltd,1/15/2018,Hitesh Jain,Insider - Employee,Sell,100,27000.0,270.0
ITC Ltd,1/8/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,26600.0,266.0
ITC Ltd,1/31/2017,D. John Robert,Insider - Employee,Sell,100,25850.0,258.5
Kwality Ltd,11/2/2018,SWAPNIL MEHTA,Bulk,Sell,2,12.0,6.23
Mahindra and Mahindra Ltd,11/22/2017,Rajesh Upadhyay,Insider - Employee,Sell,9,1.65,18340.37
Housing Development Finance Corporation Ltd,2/24/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,35184.0,2345.6
Housing Development Finance Corporation Ltd,2/23/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,36630.0,2442.0
Housing Development Finance Corporation Ltd,3/9/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,32580.0,2172.0
MFL India Ltd,12/6/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,3,1.0,0.58
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,7449.0,1489.8
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,7448.0,1489.6
Indusind Bank Ltd,2/21/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,7397.0,1479.4
Bajaj Finance Ltd,2/17/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,28675.0,5735.0
Bajaj Finance Ltd,3/10/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,27800.0,5560.0
Bajaj Finance Ltd,3/16/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,27476.0,5495.2
Reliance Industries Ltd,3/23/2020,Ritesh Shiyal,Insider - Designated Person,Buy,50,46250.0,925.0
Reliance Industries Ltd,6/12/2018,Sanjeev Moreshwar Dandekar,Insider - Employee,Sell,50,49950.0,999.0
Reliance Industries Ltd,1/25/2019,Sanjeev Vijayvargia,Insider - Other,Sell,50,62350.0,1247.0
Reliance Industries Ltd,1/30/2019,Sanjeev Vijayvargia,Insider - Other,Sell,50,62350.0,1247.0
Reliance Industries Ltd,6/15/2018,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,50,51100.0,1022.0
Reliance Industries Ltd,6/15/2018,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,50,50985.0,1019.7
Reliance Industries Ltd,6/16/2017,Surinder Singh Saini,Insider - Other,Sell,50,69500.0,1390.0
Reliance Industries Ltd,7/6/2017,Naresh Kumar Narang,Insider - Other,Sell,50,72303.0,1446.06
